編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLRLLHKFFAP66CA,1,66.42,住家用,鋼筋混凝土造,103年9月4日,004,三層
RPTNMLRLLHKFFAP66CA,1,16.58,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPUNMLRLLHKFFAP76CA,1,56.51,住家用,鋼筋混凝土造,103年9月4日,004,二層
RPUNMLRLLHKFFAP76CA,1,16.46,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPVNMLRLLHKFFAP86CA,1,55.90,住家用,鋼筋混凝土造,103年9月4日,004,二層
RPVNMLRLLHKFFAP86CA,1,16.46,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPWNMLRLLHKFFAP96CA,1,57.26,住家用,鋼筋混凝土造,103年9月4日,004,三層
RPWNMLRLLHKFFAP96CA,1,16.58,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPXNMLRLLHKFFAP07CA,1,56.52,住家用,鋼筋混凝土造,103年9月4日,004,二層
RPXNMLRLLHKFFAP07CA,1,16.46,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPOOMLRLLHKFFAP88CA,1,66.42,住家用,鋼筋混凝土造,103年9月4日,004,二層
RPOOMLRLLHKFFAP88CA,1,16.46,見其他登記事項,鋼筋混凝土造,103年9月4日,004
RPQNMLPLLHKFFAP78CA,,110.98,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPQNMLPLLHKFFAP78CA,,110.98,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPRNMLPLLHKFFAP88CA,,217.24,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPSNMLPLLHKFFAP98CA,,217.24,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPUNMLPLLHKFFAP56CA,,217.24,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPVNMLPLLHKFFAP66CA,,217.24,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPWNMLPLLHKFFAP76CA,,170.00,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPXNMLPLLHKFFAP86CA,,170.00,見其他登記事項,鋼筋混凝土造,103年10月1日,003,二層 三層 電梯樓梯間 一層
RPOOMLPLLHKFFAP68CA,,170.00,見其他登記事項,鋼筋混凝土造,103年10月1日,003,一層 二層 三層 電梯樓梯間
RPPOMLPLLHKFFAP78CA,,174.60,見其他登記事項,鋼筋混凝土造,103年10月1日,003,電梯樓梯間 一層 二層 三層
RPXNMLNLLHKFFDP96CA,19,45.39,住家用,鋼筋混凝土造,84年9月21日,007,五層 電梯樓梯間
RPXNMLNLLHKFFDP96CA,19,4.37,共有部份,鋼筋混凝土造,84年9月21日,007
RPXNMLNLLHKFFDP96CA,19,3.42,共有部份,鋼筋混凝土造,84年9月21日,007
RPPNMLTKMHKFFDP76CA,18,89.97,住家用,鋼筋混凝土造,85年10月24日,005,五層
RPPNMLTKMHKFFDP76CA,18,2.38,共有部份,鋼筋混凝土造,85年10月24日,005
RPPNMLOLLHKFFAP68DA,21,178.89,住家用,鋼筋混凝土造,83年6月10日,003,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLNLLHKFFDP56DA,19,60.47,住家用,鋼筋混凝土造,84年9月21日,007,七層 電梯樓梯間
RPSNMLNLLHKFFDP56DA,19,6.07,共有部份,鋼筋混凝土造,84年9月21日,007
RPSNMLNLLHKFFDP56DA,19,3.48,共有部份,鋼筋混凝土造,84年9月21日,007
RPUNMLNLLHKFFAP56EA,35,269.19,住商用,見其他登記事項,69年1月28日,003,一層 二層 三層 騎樓 電梯樓梯間
RPQNMLKKMHKFFAP38DA,33,111.16,住家用,加強磚造,70年11月11日,002,一層 二層 騎樓
RPQNMLPLLHKFFBP98DA,32,111.30,住家用,加強磚造,72年5月20日,002,騎樓 電梯樓梯間 一層 二層
RPQNMLLMLHKFFCP78DA,,195.99,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPRNMLLMLHKFFCP88DA,,196.23,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPTNMLLMLHKFFCP09DA,,169.32,住家用,鋼筋混凝土造,103年12月27日,003,一層 二層 三層
RPRNMLMJMHKFFDP78CA,,178.50,住家用,鋼筋混凝土造,103年10月27日,003,一層 二層 三層
RPPOMLRLLHKFFDP66CA,16,114.06,住家用,鋼筋混凝土造,88年7月30日,014,五層
RPPOMLRLLHKFFDP66CA,16,29.05,共有部份,鋼筋混凝土造,88年7月30日,014
RPPOMLRLLHKFFDP66CA,16,2.14,住家用,鋼筋混凝土造,88年7月30日,014
RPPOMLRLLHKFFDP66CA,16,19.26,見其他登記事項,鋼筋混凝土造,88年7月30日,014
RPQNMLQLLHKFFDP56CA,18,207.24,住家用,鋼筋混凝土造,85年10月30日,004,一層 二層 三層 四層 地下層
RPRNMLQLLHKFFDP66CA,22,73.02,住家用,鋼筋混凝土造,82年7月15日,003,一層
RPRNMLQLLHKFFDP66CA,22,33.43,共有部份,鋼筋混凝土造,82年7月15日,003
RPRNMLOLLHKFFAP78CA,2,254.44,住家用,鋼筋混凝土造,102年4月10日,003,一層 二層 三層
