編號,車位類別,車位價格,車位面積平方公尺
RPXOMLSKLHKFFAH98CA,坡道平面,0,
RPRNMLKLLHKFFAH57CA,坡道平面,1300000,33.04
RPPOMLSKLHKFFAH18CA,坡道平面,0,29.99
RPXOMLKLLHKFFAH28CA,坡道平面,0,
RPSOMLTKLHKFFAH58CA,坡道平面,0,
RPTOMLTKLHKFFAH68CA,坡道平面,0,33.07
RPPNMLPLLHKFFAH87CA,坡道平面,0,
RPUQMLOLLHKFFAH58CA,坡道平面,0,
RPVQMLOLLHKFFAH68CA,坡道平面,0,
RPOPMLKMLHKFFAH57CA,坡道平面,0,
RPOPMLKMLHKFFAH57CA,坡道平面,0,
RPXNMLRLLHKFFAH88CA,坡道機械,600000,19.97
RPPOMLRLLHKFFAH18CA,坡道機械,600000,19.97
RPSOMLRLLHKFFAH48CA,坡道機械,600000,19.97
RPPQMLRLLHKFFAH38CA,坡道平面,0,
RPQQMLOKMHKFFAH18CA,坡道平面,1150000,31.24
RPSOMLQKMHKFFAH38CA,坡道平面,0,
RPSOMLQLLHKFFBH48CA,坡道平面,0,27.05
RPQNMLTLLHKFFBH48CA,一樓平面,0,
RPRNMLTLLHKFFBH58CA,一樓平面,0,
RPPPMLLJMHKFFBH67CA,坡道平面,0,
RPUNMLNJMHKFFBH18CA,坡道平面,0,
RPUPMLMJMHKFFBH28CA,坡道平面,0,
RPRQMLSJMHKFFBH68CA,一樓平面,0,
RPSPMLSJMHKFFBH68CA,坡道平面,0,
RPVPMLOKMHKFFBH68CA,坡道平面,1500000,37.65
RPQOMLNLLHKFFDH18CA,坡道平面,0,
RPUOMLKLLHKFFDH28CA,坡道平面,0,
RPWPMLPKMHKFFDH09CA,坡道平面,0,25.79
RPUNMLTKLHKFFEH09CA,坡道平面,0,
RPPNMLKLLHKFFEH77CA,坡道平面,0,
RPPNMLOLLHKFFEH18CA,坡道機械,0,
RPOOMLQLLHKFFEH38CA,坡道平面,0,39.45
RPPNMLRLLHKFFFH58CA,坡道平面,0,
RPRNMLRLLHKFFFH78CA,坡道平面,1250000,22.14
RPTQMLNLLHKFFAH48DA,坡道平面,0,
RPRQMLPLLHKFFAH48DA,坡道平面,0,
RPVOMLRLLHKFFAH88DA,坡道平面,0,
RPUOMLOKMHKFFGH98CA,坡道平面,1450000,26.83
RPRNMLPKMHKFFGH68CA,坡道平面,1250000,26.83
RPSNMLSKLHKFFFH98DA,坡道平面,0,33.83
RPWOMLOKMHKFFAH68DA,坡道平面,1150000,29.99
