鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
安樂區,房地(土地+建物),基隆市安樂區基金一路210巷1~30號,30.4,住,,,10312,土地1建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841120,144.88,4,2,2,有,有,6000000,41414,,0.0,0,含增建或未登記建物。,RPQNMLKLLHKFFCC17CA
安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷181~210號,18.56,住,,,10403,土地2建物1車位0,一層,13,店面(店鋪),商業用,鋼筋混凝土造,0880114,111.52000000000001,0,0,0,無,有,8000000,71736,,0.0,0,,RPRNMLKLLHKFFCC27CA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷15弄1~30號,21.97,住,,,10402,土地4建物2車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,82.67,2,1,1,有,無,2400000,29035,,0.0,0,,RPSNMLKLLHKFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區安和一街91~120號,28.34,住,,,10402,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850718,161.49,3,2,2,有,有,8500000,52635,,0.0,0,,RPOOMLNLLHKFFCC37CA
暖暖區,房地(土地+建物),基隆市暖暖區暖暖街151~180號,25.72,住,,,10401,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830429,132.52,3,2,2,有,有,6400000,48295,,0.0,0,,RPUNMLKKMHKFFCC57CA
安樂區,房地(土地+建物),基隆市安樂區基金一路91~120號,13.97,住,,,10403,土地1建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830610,87.22999999999999,3,2,2,有,有,2900000,33245,,0.0,0,,RPROMLOKMHKFFCC77CA
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路121巷1~30號,41.15,住,,,10401,土地1建物1車位1,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850930,158.1,3,2,1,有,有,2600000,16445,坡道平面,31.41,0,瑕疵物件之交易。,RPUNMLOLLHKFFCC18EA
信義區,房地(土地+建物),基隆市信義區東明路77巷151~180號,28.1,住,,,10402,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790601,102.67,3,2,2,有,無,2750000,26785,,0.0,0,,RPSNMLSKLHKFFBC08DA
中正區,房地(土地+建物),基隆市中正區中正路781~810號,24.67,住,,,10402,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681116,81.92,4,1,1,有,無,3360000,41016,,0.0,0,含增建或未登記建物。,RPPNMLLLLHKFFBC17DA
信義區,土地,深澳段481~510地號,32.41,住,,,10401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,301418,9300,,0.0,0,向政府機關承購之案件。,RPQNMLKMLHKFFBC27DA
暖暖區,房地(土地+建物),基隆市暖暖區國安路30巷1~30號,27.45,住,,,10403,土地3建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710915,72.9,4,3,2,有,無,1280000,17558,,0.0,0,,RPWNMLTJMHKFFCC58CA
安樂區,房地(土地+建物),基隆市安樂區安樂路一段121~150號,28.19,住,,,10312,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720704,112.0,3,2,1,有,無,3000000,26786,,0.0,0,含增建或未登記建物。,RPROMLNLLHKFFCC67CA
安樂區,房地(土地+建物),基隆市安樂區中和路85巷1~30號,21.65,其他,,,10401,土地6建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,78.46000000000001,3,2,2,有,有,3000000,38236,,0.0,0,含有增建樓中樓親友、員工或其他特殊關係間之交易。,RPTOMLNLLHKFFCC87CA
安樂區,房地(土地+建物),基隆市安樂區基金一路91~120號,22.26,住,,,10402,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820120,117.79,3,2,1,有,有,4000000,33959,,0.0,0,,RPVNMLPLLHKFFCC18CA
暖暖區,房地(土地+建物),基隆市暖暖區碇內街83巷1~30號,48.02,住,,,10401,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0711204,77.68,2,2,1,有,無,3000000,38620,,0.0,0,,RPQOMLKLLHKFFCC27CA
七堵區,房地(土地+建物),基隆市七堵區福一街181~210號,26.51,住,,,10401,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730629,87.43,3,2,1,有,無,4550000,52042,,0.0,0,,RPROMLKLLHKFFCC37CA
安樂區,房地(土地+建物),基隆市安樂區基金一路151~180號,13.6,住,,,10403,土地5建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,81.81,2,1,1,有,有,3100000,37893,,0.0,0,,RPTOMLKLLHKFFCC57CA
安樂區,房地(土地+建物),基隆市安樂區麥金路151~180號,8.24,住,,,10402,土地8建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,71.18,2,2,1,有,有,3500000,49171,,0.0,0,,RPUOMLKLLHKFFCC67CA
安樂區,房地(土地+建物)+車位,基隆市安樂區中和路85巷1~30號,24.56,其他,,,10402,土地6建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,119.75999999999999,4,2,2,有,有,3700000,30895,坡道平面,31.15,0,,RPTNMLNLLHKFFCC77CA
仁愛區,房地(土地+建物),基隆市仁愛區愛七路17巷1~30號,23.25,住,,,10402,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621115,57.43,3,2,2,有,無,3600000,62685,,0.0,0,,RPOOMLLMLHKFFBC17CA
