編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLNJMHKFFET96CA,1,205.62,見其他登記事項,見其他登記事項,103年10月20日,003,一層 二層 三層 屋頂突出物 見其他登記事項
RPUNMLNLLHKFFET17CA,51,165.00,商業用,鋼筋混凝土加強磚造,52年11月1日,002,一層 二層 騎樓
RPVNMLNLLHKFFDT17CA,22,99.93,住宅,鋼筋混凝土造,82年6月15日,006,四層
RPOOMLPKMHKFFCT66CA,21,159.61,住家用,鋼筋混凝土造,82年10月4日,004,一層 二層 三層 四層
RPOOMLOKMHKFFCT56CA,37,152.54,住商用,加強磚造,66年9月16日,003,一層 二層 三層 騎樓
RPOOMLOKMHKFFCT56CA,42,85.88,住家用,加強磚造,61年8月9日,002,一層 二層
RPVNMLRJMHKFFCT37CA,,230.21,見其他登記事項,見其他登記事項,103年12月11日,003,一層 二層 三層 見其他登記事項
RPROMLQLLHKFFCT07CA,21,137.90,住商用,鋼筋混凝土造,82年9月21日,004,一層 二層 三層 四層
RPWNMLKLLHKFFAT66CA,1,195.53,見其他登記事項,鋼筋混凝土造,103年8月4日,004,一層 二層 三層 四層 屋頂突出物
RPPPMLTKLHKFFAT96CA,23,127.23,住家用,鋼筋混凝土造,80年11月1日,007,七層
RPPPMLTKLHKFFAT96CA,23,56.13,共有部份,鋼筋混凝土造,80年11月1日,007
RPVNMLPLLHKFFAT07CA,8,13.91,住家用,鋼筋混凝土造,96年3月28日,005,五層
RPVNMLPLLHKFFAT07CA,8,6.97,見其他登記事項,鋼筋混凝土造,96年3月28日,005
RPXNMLPLLHKFFAT27CA,15,62.91,見其他登記事項,鋼筋混凝土造,88年12月4日,014,三層
RPXNMLPLLHKFFAT27CA,15,19.21,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPTNMLQLLHKFFAT96CA,32,73.04,國民住宅,鋼筋混凝土造,72年3月5日,005,三層
RPTNMLQLLHKFFAT96CA,32,.00,見其他登記事項,鋼筋混凝土造,72年5月16日,
RPTNMLQLLHKFFAT96CA,32,.00,見其他登記事項,鋼筋混凝土造,72年3月15日,
RPTNMLPLLHKFFAT86CA,1,220.28,住家用,鋼筋混凝土造,103年7月18日,003,一層 二層 三層
RPTOMLPLLHKFFAT96CA,23,91.23,見其他登記事項,鋼筋混凝土造,81年6月1日,007,七層
RPTOMLPLLHKFFAT96CA,23,25.36,見其他登記事項,鋼筋混凝土造,81年6月1日,007
RPSOMLQKMHKFFAT96CA,15,177.73,見其他登記事項,鋼筋混凝土造,89年7月25日,004,一層 二層 三層 四層
RPSPMLNLLHKFFCT96CA,2,234.15,住家用,見其他登記事項,102年8月20日,003,一層 二層 三層
RPPNMLOLLHKFFDT66CA,38,63.00,住宅,加強磚造,65年12月31日,002,一層 二層
RPQNMLPLLHKFFDT86CA,1,75.69,見其他登記事項,鋼筋混凝土構造,103年8月8日,002,一層 二層
RPUNMLNLLHKFFAT86DA,,40.52,住家用,磚造,,001,一層
RPPNMLRLLHKFFBT76CA,34,96.59,住商用,鋼筋混凝土造,70年3月14日,002,一層 二層 騎樓
RPPOMLTJMHKFFAT86CA,9,200.09,住家用,鋼筋混凝土造,94年9月20日,003,一層 二層 三層
RPVNMLKKMHKFFAT56CA,15,99.68,見其他登記事項,鋼筋混凝土造,88年12月4日,014,六層
RPVNMLKKMHKFFAT56CA,15,60.50,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPUOMLPLLHKFFAT07CA,15,45.88,見其他登記事項,鋼筋混凝土造,88年12月4日,014,三層
RPUOMLPLLHKFFAT07CA,15,13.44,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPPOMLPLLHKFFAT56CA,32,82.80,住家用,加強磚造,72年2月9日,002,一層 二層
RPRNMLQLLHKFFAT76CA,21,212.87,住商用,鋼筋混凝土造,83年4月26日,004,一層 二層 三層 四層 騎樓
RPSNMLPLLHKFFAT76CA,37,99.34,住家用,加強磚造,67年8月16日,002,一層 二層
RPQNMLOLLHKFFAT09CA,19,45.38,住家用,鋼筋混凝土造,84年12月29日,006,二層
RPQNMLOLLHKFFAT09CA,19,14.35,見其他登記事項,鋼筋混凝土造,84年12月29日,006
RPPNMLPLLHKFFCT66CA,40,81.22,住家用,加強磚造,64年8月4日,002,一層 二層
