編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLSJMHKFFAU47CA,15,28.67,共有部份,鋼筋混凝土造,89年5月9日,006
RPTNMLLLMHKFFAU66CA,35,36.54,住家用,鋼筋混凝土加強磚造,69年4月1日,001,一層
RPSQMLLMLHKFFAU86CA,20,178.45,見其他登記事項,鋼筋混凝土造,83年9月29日,004,二層 三層 一層 四層 屋頂突出物
RPPOMLLMLHKFFAU98CA,19,10.36,共有部份,鋼筋混凝土造,84年11月4日,011
RPPOMLLMLHKFFAU98CA,19,70.42,住家用,鋼筋混凝土造,84年11月4日,011,六層
RPPOMLLMLHKFFAU98CA,19,15.52,共有部份,鋼筋混凝土造,84年11月4日,010
RPPQMLPLLHKFFAU86CA,42,123.56,住家用,鋼筋混凝土加強磚造,62年5月8日,002,一層 二層 騎樓
RPPPMLPLLHKFFAU76CA,1,201.15,住家用,鋼筋混凝土造,103年1月15日,004,一層 二層 三層 四層
RPQNMLQLLHKFFAU76CA,16,120.96,住家用,鋼筋混凝土造,88年4月14日,005,三層
RPQNMLQLLHKFFAU76CA,16,11.61,共有部份,鋼筋混凝土造,88年4月14日,005
RPQNMLQLLHKFFAU76CA,16,7.56,共有部份,鋼筋混凝土造,88年4月14日,005
RPUOMLQLLHKFFAU27CA,38,75.72,住家用,鋼筋混凝土加強磚造,66年9月10日,002,一層 二層
RPWOMLQLLHKFFAU47CA,19,82.82,住家用,鋼筋混凝土造,85年3月25日,007,七層
RPWOMLQLLHKFFAU47CA,19,28.02,共有部份,鋼筋混凝土造,85年3月25日,007
RPVQMLLMLHKFFAU17CA,21,244.69,住家用,鋼筋混凝土造,82年12月21日,005,二層 三層 四層 五層 屋頂突出物 一層
RPPNMLLJMHKFFAU68CA,23,211.14,住家用,鋼筋混凝土造,80年10月21日,003,一層 二層 三層
RPSNMLQJMHKFFAU86CA,26,216.08,住商用,鋼筋混凝土造,78年7月10日,003,一層 二層 三層 屋頂突出物 騎樓
RPQNMLPLLHKFFBU76CA,33,113.26,住家用,鋼筋混凝土加強磚造,70年12月4日,002,一層 二層 騎樓
RPWOMLSJMHKFFAU57CA,15,75.75,住家用,鋼筋混凝土造,89年5月9日,006,三層
RPWOMLSJMHKFFAU57CA,15,28.77,共有部份,鋼筋混凝土造,89年5月9日,006
RPWNMLTJMHKFFAU57CA,22,57.47,住家用,鋼筋混凝土造,81年12月7日,005,二層
RPWNMLTJMHKFFAU57CA,22,10.12,共有部份,鋼筋混凝土造,81年12月7日,005
RPTOMLQLLHKFFAU37EA,35,93.98,住商用,鋼筋混凝土加強磚造,69年1月11日,002,一層 二層 騎樓
RPSNMLRLMHKFFCU47DA,30,130.18,住商用,鋼筋混凝土造,74年7月12日,002,屋頂突出物 騎樓 一層 二層
RPVNMLPLLHKFFAU27DA,23,222.73,住家用,鋼筋混凝土造,80年11月25日,003,一層 二層 三層
RPPNMLRLLHKFFCU96CA,35,120.93,住商用,鋼筋混凝土加強磚造,69年7月29日,002,一層 二層 騎樓
RPQNMLRLLHKFFCU07CA,,43.83,住家用,鋼筋混凝土加強磚造,,002,一層 二層 騎樓
RPPPMLNKMHKFFAU56CA,21,241.33,住家用,鋼筋混凝土造,82年12月21日,005,一層 二層 三層 四層 五層 屋頂突出物
RPPPMLQKMHKFFAU86CA,37,128.37,住商用,鋼筋混凝土加強磚造,66年8月9日,002,一層 二層 騎樓
RPRPMLOKMHKFFAU86CA,29,20.96,住家用,鋼筋混凝土造,75年5月31日,009,五層
RPRPMLOKMHKFFAU86CA,29,6.34,共有部份,鋼筋混凝土造,75年5月31日,009
RPWOMLSLMHKFFAU77CA,21,95.71,住家用,鋼筋混凝土造,82年11月9日,008,六層
RPWOMLSLMHKFFAU77CA,21,34.31,共有部份,鋼筋混凝土造,82年11月9日,008
RPVOMLKLMHKFFAU86CA,17,324.21,住家用,鋼筋混凝土造,87年5月7日,004,一層 二層 三層 四層 屋頂突出物 停車場
RPOPMLMJMHKFFAU88CA,22,60.51,住家用,鋼筋混凝土造,82年1月11日,009,六層
RPOPMLMJMHKFFAU88CA,22,20.19,共有部份,鋼筋混凝土造,82年1月11日,009
RPXOMLLMLHKFFAU17CA,19,107.65,住家用,鋼筋混凝土造,85年2月16日,015,九層
RPXOMLLMLHKFFAU17CA,19,28.00,共有部份,鋼筋混凝土造,85年2月16日,015
RPXOMLLMLHKFFAU17CA,19,14.51,共有部份,鋼筋混凝土造,85年2月16日,015
RPOOMLLMLHKFFAU88CA,28,105.50,住家用,見其他登記事項,76年5月7日,002,一層 二層
RPQNMLLMLHKFFAU98CA,30,83.27,住家用,鋼筋混凝土造,74年2月7日,005,五層
RPQNMLLMLHKFFAU98CA,30,11.06,共有部份,鋼筋混凝土造,74年2月7日,005
RPWNMLRLLHKFFAU47CA,19,25.97,住家用,鋼筋混凝土造,84年11月15日,012,五層
RPWNMLRLLHKFFAU47CA,20,6.37,共有部份,鋼筋混凝土造,83年11月15日,012
RPWNMLRLLHKFFAU47CA,20,8.30,共有部份,鋼筋混凝土造,83年11月15日,012
RPXNMLRLLHKFFAU57CA,30,190.57,住家用,鋼筋混凝土造,74年2月16日,003,一層 二層 三層 騎樓
RPWOMLRLLHKFFAU57CA,20,19.85,住家用,鋼筋混凝土造,83年11月15日,012,五層
RPWOMLRLLHKFFAU57CA,20,6.23,共有部份,鋼筋混凝土造,83年11月15日,012
RPWOMLRLLHKFFAU57CA,20,3.38,共有部份,鋼筋混凝土造,83年11月15日,012
RPXOMLQLLHKFFAU57CA,38,98.08,住家用,鋼筋混凝土加強磚造,66年2月8日,002,一層 二層
RPSNMLRLLHKFFAU07CA,15,20.04,住家用,鋼筋混凝土造,88年11月25日,006,三層
RPSNMLRLLHKFFAU07CA,15,14.25,共有部份,鋼筋混凝土造,88年11月25日,006
RPVNMLRKMHKFFAU57EA,35,83.50,住商用,鋼筋混凝土加強磚造,68年10月24日,002,一層 二層 騎樓
RPPPMLRLLHKFFAU96CA,15,102.98,住家用,鋼筋混凝土造,88年5月20日,004,二層 一層
RPPPMLRLLHKFFAU96CA,15,14.25,停車空間,鋼筋混凝土造,88年5月20日,004
RPPPMLRLLHKFFAU96CA,15,16.23,共有部份,鋼筋混凝土造,88年5月20日,004
RPPPMLRLLHKFFAU96CA,15,18.48,共有部份,鋼筋混凝土造,88年5月20日,004
RPOPMLKMLHKFFAU88CA,36,84.75,住家用,鋼筋混凝土加強磚造,68年5月9日,002,一層 二層
RPQPMLKMLHKFFAU09CA,,390.48,住家用,鋼筋混凝土造,103年10月6日,005,三層 四層 一層 二層 五層 騎樓 見其他登記事項
RPPNMLSLLHKFFAU86CA,39,85.05,住家用,鋼筋混凝土加強磚造,65年5月28日,002,二層 一層
RPOPMLLMLHKFFAU98CA,21,105.94,住家用,鋼筋混凝土造,82年12月21日,003,一層 二層 三層
RPWOMLLMLHKFFAU07CA,44,81.21,住家用,見其他登記事項,60年8月1日,001,一層
RPVOMLRJMHKFFAU37CA,35,111.09,住商用,鋼筋混凝土加強磚造,69年4月14日,002,一層 二層 騎樓
RPQNMLLJMHKFFAU78CA,19,22.23,住家用,鋼筋混凝土造,85年1月30日,005,四層
RPQNMLLJMHKFFAU78CA,19,7.87,共有部份,鋼筋混凝土造,85年1月30日,005
RPSNMLLJMHKFFAU98CA,38,112.86,住商用,鋼筋混凝土加強磚造,66年2月8日,002,一層 二層 騎樓
