"縣市","鄉鎮市區","交易標的","土地區段位置或建物區門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","lat","lon"
"臺北市","信義區","房地(土地+建物)","臺北市信義區吳興街600巷98弄15號",30.74,"住",NA,NA,10402,"土地1建物1車位0","五層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,73.18,2,2,1,"有","無",9300000,127084,"",0,0,25.017,121.57
"臺北市","松山區","土地","",10,"住",NA,NA,10312,"土地3建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",9075000,907500,"",0,0,NA,NA
"臺北市","南港區","車位","臺北市南港區八德路四段795號",1.86,"其他",NA,NA,10402,"土地0建物0車位4","地下層",5,"其他","見使用執照","鋼筋混凝土造",750205,130.42,0,0,0,"有","有",6500000,NA,"坡道平面",130.36,6500000,25.051,121.57
"臺北市","松山區","房地(土地+建物)","臺北市松山區延吉街15號",14.97,"住",NA,NA,10401,"土地1建物1車位0","五層",7,"套房(1房1廳1衛)","見其他登記事項","鋼筋混凝土造",800426,54.71,0,0,0,"無","有",12350000,225736,"",0,0,25.042,121.55
"臺北市","信義區","土地","",0.04,"住",NA,NA,10403,"土地3建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",10000,0,"",0,0,NA,NA
"臺北市","松山區","房地(土地+建物)","臺北市松山區八德路四段645號",3.87,"商",NA,NA,10402,"土地1建物1車位0","七層",13,"套房(1房1廳1衛)","見其他登記事項","鋼筋混凝土造",951110,34.75,1,1,1,"有","有",10700000,307914,"",0,0,25.05,121.57
"臺北市","信義區","房地(土地+建物)","臺北市信義區基隆路二段135號",5.64,"商",NA,NA,10402,"土地2建物1車位0","九層",12,"辦公商業大樓","見使用執照","鋼筋混凝土造",790119,58.49,1,1,1,"有","有",9600000,164103,"",0,0,25.027,121.55
"臺北市","信義區","車位","臺北市信義區信安街103巷15號",7.49,"住",NA,NA,10403,"土地0建物0車位2","一層",5,"其他","見其他登記事項","鋼筋混凝土造",1020315,71.52,0,0,0,"有","有",4750000,NA,"坡道平面",71.04,4750000,25.025,121.55
"臺北市","南港區","房地(土地+建物)+車位","臺北市南港區三重里重陽路495號",121.37,"住",NA,NA,10312,"土地1建物1車位3","十八層",23,"住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1030618,535.2,0,0,0,"無","有",125280000,234081,"坡道平面",141.48,0,25.061,121.61
"臺北市","信義區","房地(土地+建物)+車位","臺北市信義區市民大道六段315號",49.96,"商",NA,NA,10403,"土地2建物1車位2","十一層",16,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031227,354.33,4,2,3,"有","有",79880000,269033,"坡道平面",76,5000000,25.049,121.57
"臺北市","信義區","房地(土地+建物)+車位","臺北市信義區市民大道六段315號",50.99,"商",NA,NA,10403,"土地2建物1車位3","十六層",16,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031227,394.34,4,2,3,"有","有",93030000,302240,"坡道平面",114,8300000,25.049,121.57
"臺北市","信義區","房地(土地+建物)+車位","臺北市信義區市民大道六段315號",49.96,"商",NA,NA,10403,"土地2建物1車位2","十五層",16,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1031227,353.63,4,2,3,"有","有",8.5e+07,288153,"坡道平面",76,5000000,25.049,121.57
"臺北市","士林區","房地(土地+建物)","臺北市士林區雨聲街53巷15號",22.83,"住",NA,NA,10312,"土地1建物1車位0","二層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",750311,102.93,4,2,2,"有","有",18500000,179734,"",0,0,25.102,121.52
"臺北市","士林區","房地(土地+建物)","臺北市士林區福港街255號",26.4,"住",NA,NA,10402,"土地1建物1車位0","一層",5,"店面(店鋪)","見使用執照","鋼筋混凝土造",690110,161.09,1,0,2,"有","無",2.2e+07,136570,"",0,0,25.083,121.51
"臺北市","北投區","房地(土地+建物)","臺北市北投區同德街45號",29.11,"住",NA,NA,10401,"土地1建物1車位0","一層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",730619,109.27,3,2,2,"有","無",15500000,141850,"",0,0,25.124,121.52
"臺北市","北投區","房地(土地+建物)","臺北市北投區吉利街123巷15號",10.35,"商",NA,NA,10402,"土地1建物1車位0","八層",8,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",850925,63.71,2,1,1,"有","有",10200000,160100,"",0,0,25.119,121.5
"臺北市","士林區","土地","",229.21,"其他",NA,NA,10402,"土地6建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",12480000,54448,"",0,0,NA,NA
"臺北市","士林區","車位","臺北市士林區環河北路三段105號",0,"",NA,NA,10401,"土地0建物0車位1","",NA,"其他","","",NA,19.55,0,0,0,"有","無",6e+05,NA,"坡道機械",19.55,600000,25.084,121.5
