編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVPMLTJMHKFFAO07CA,1,51.60,共有部分,鋼筋混凝土造,103年8月29日,015
RPVPMLTJMHKFFAO07CA,1,22.12,共有部分,鋼筋混凝土造,103年8月29日,015
RPXPMLTJMHKFFAO27CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十四層
RPXPMLTJMHKFFAO27CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPXPMLTJMHKFFAO27CA,1,22.12,共有部分,鋼筋混凝土造,103年8月29日,015
RPOQMLTJMHKFFAO09CA,1,72.81,見其他登記事項,鋼筋混凝土造,103年8月29日,015,四層
RPOQMLTJMHKFFAO09CA,1,51.23,共有部分,鋼筋混凝土造,103年8月29日,015
RPOQMLTJMHKFFAO09CA,1,18.74,共有部分,鋼筋混凝土造,103年8月29日,015
RPPQMLTJMHKFFAO56CA,1,72.81,見其他登記事項,鋼筋混凝土造,103年8月29日,015,八層
RPPQMLTJMHKFFAO56CA,1,51.23,共有部分,鋼筋混凝土造,103年8月29日,015
RPPQMLTJMHKFFAO56CA,1,18.74,共有部分,鋼筋混凝土造,103年8月29日,015
RPQQMLTJMHKFFAO66CA,1,72.81,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十三層
RPQQMLTJMHKFFAO66CA,1,49.24,共有部分,鋼筋混凝土造,103年8月29日,015
RPQQMLTJMHKFFAO66CA,1,18.74,共有部分,鋼筋混凝土造,103年8月29日,015
RPRQMLTJMHKFFAO76CA,1,68.60,見其他登記事項,鋼筋混凝土造,103年8月29日,015,三層
RPRQMLTJMHKFFAO76CA,1,50.36,共有部分,鋼筋混凝土造,103年8月29日,015
RPRQMLTJMHKFFAO76CA,1,17.63,共有部分,鋼筋混凝土造,103年8月29日,015
RPSQMLTJMHKFFAO86CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,七層
RPSQMLTJMHKFFAO86CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPSQMLTJMHKFFAO86CA,1,22.12,共有部分,鋼筋混凝土造,103年8月29日,015
RPTQMLTJMHKFFAO96CA,1,68.60,見其他登記事項,鋼筋混凝土造,103年8月29日,015,六層
RPTQMLTJMHKFFAO96CA,1,48.37,共有部分,鋼筋混凝土造,103年8月29日,015
RPTQMLTJMHKFFAO96CA,1,17.63,共有部分,鋼筋混凝土造,103年8月29日,015
RPUQMLTJMHKFFAO07CA,1,68.60,見其他登記事項,鋼筋混凝土造,103年8月29日,015,七層
RPUQMLTJMHKFFAO07CA,1,48.37,共有部分,鋼筋混凝土造,103年8月29日,015
RPUQMLTJMHKFFAO07CA,1,17.63,共有部分,鋼筋混凝土造,103年8月29日,015
RPVQMLTJMHKFFAO17CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,三層
RPVQMLTJMHKFFAO17CA,1,51.60,共有部分,鋼筋混凝土造,103年8月29日,015
RPVQMLTJMHKFFAO17CA,1,22.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPWQMLTJMHKFFAO27CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,四層
RPWQMLTJMHKFFAO27CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPWQMLTJMHKFFAO27CA,1,22.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPXQMLTJMHKFFAO37CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,五層
RPXQMLTJMHKFFAO37CA,1,53.59,共有部分,鋼筋混凝土造,103年8月29日,015
RPXQMLTJMHKFFAO37CA,1,22.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPORMLTJMHKFFAO56CA,1,85.96,見其他登記事項,鋼筋混凝土造,103年8月29日,015,七層
RPORMLTJMHKFFAO56CA,1,91.02,共有部分,鋼筋混凝土造,103年8月29日,015
RPORMLTJMHKFFAO56CA,1,22.09,共有部分,鋼筋混凝土造,103年8月29日,015
RPPRMLTJMHKFFAO66CA,1,104.65,見其他登記事項,鋼筋混凝土造,103年8月29日,015,九層
RPPRMLTJMHKFFAO66CA,1,57.32,共有部分,鋼筋混凝土造,103年8月29日,015
RPPRMLTJMHKFFAO66CA,1,26.82,共有部分,鋼筋混凝土造,103年8月29日,015
RPQRMLTJMHKFFAO76CA,1,72.81,見其他登記事項,鋼筋混凝土造,103年8月29日,015,十一層
RPQRMLTJMHKFFAO76CA,1,51.23,共有部分,鋼筋混凝土造,103年8月29日,015
RPQRMLTJMHKFFAO76CA,1,18.74,共有部分,鋼筋混凝土造,103年8月29日,015
RPSNMLRKLHKFFAO56EA,24,3.74,商業用,鋼筋混凝土造,80年6月3日,010,三層
RPSNMLRKLHKFFAO56EA,24,1.44,共有部分,鋼筋混凝土造,80年6月3日,010
RPUOMLSKLHKFFAO96EA,8,25.84,見其他登記事項,鋼筋混凝土造,96年6月6日,010,八層
RPUOMLSKLHKFFAO96EA,8,12.43,見其他登記事項,鋼筋混凝土造,96年6月6日,010
RPUOMLSKLHKFFAO96EA,8,.03,見其他登記事項,鋼筋混凝土造,96年6月6日,010,一層
RPUOMLSKLHKFFAO96EA,8,.00,見其他登記事項,鋼筋混凝土造,96年6月6日,010
RPTNMLOJMHKFFAO78CA,17,114.56,住家用,鋼筋混凝土造,87年5月31日,016,十二層
RPTNMLOJMHKFFAO78CA,17,19.82,共有部分,鋼筋混凝土造,87年5月31日,016
RPTNMLOJMHKFFAO78CA,17,36.95,共有部分,鋼筋混凝土造,87年5月31日,016
RPVNMLLJMHKFFAO68CA,,81.54,住家用,鋼筋混凝土造,,005,四層
RPVNMLLJMHKFFAO68CA,,5.64,見其他登記事項,鋼筋混凝土造,,005
RPOOMLLJMHKFFAO08CA,2,246.10,見其他登記事項,鋼筋混凝土造,102年6月5日,014,三層
RPOOMLLJMHKFFAO08CA,2,12.87,共有部分,鋼筋混凝土造,102年6月5日,014
RPOOMLLJMHKFFAO08CA,2,26.15,共有部分,鋼筋混凝土造,102年6月5日,014
RPOOMLLJMHKFFAO08CA,2,71.71,共有部分,鋼筋混凝土造,102年6月5日,014
RPOOMLLJMHKFFAO08CA,2,30.42,共有部分,鋼筋混凝土造,102年6月5日,014
RPXOMLLJMHKFFAO98CA,,220.55,見其他登記事項,鋼筋混凝土造,103年12月25日,004,一層 二層 三層 四層 見其他登記事項
RPXOMLLJMHKFFAO98CA,,.14,共有部分,鋼筋混凝土造,103年12月25日,001
RPXPMLRLLHKFFAO17CA,24,27.59,,鋼筋混凝土造,80年5月28日,005,三層
RPXPMLRLLHKFFAO17CA,24,8.92,,鋼筋混凝土造,80年5月28日,005
RPUQMLRLLHKFFAO96CA,19,186.68,住家用,鋼筋混凝土造,84年9月1日,004,一層 二層 三層 四層
RPTPMLQLLHKFFAO66CA,25,142.51,住家用,鋼筋混凝土造,79年1月17日,002,一層 二層
RPPNMLPLLHKFFAO58CA,6,107.96,見其他登記事項,鋼筋混凝土造,98年7月21日,015,十四層
RPPNMLPLLHKFFAO58CA,6,.02,見其他登記事項,鋼筋混凝土造,98年7月21日,015,一層
RPPNMLPLLHKFFAO58CA,6,.00,見其他登記事項,鋼筋混凝土造,98年7月21日,015
RPPNMLPLLHKFFAO58CA,6,23.30,見其他登記事項,鋼筋混凝土造,98年7月21日,015
RPPNMLPLLHKFFAO58CA,6,19.45,見其他登記事項,鋼筋混凝土造,98年7月21日,015
RPPNMLPLLHKFFAO58CA,6,24.62,見其他登記事項,鋼筋混凝土造,98年7月21日,015
RPSPMLNLLHKFFAO88CA,7,94.22,見其他登記事項,鋼筋混凝土造,96年11月20日,004,二層
RPSPMLNLLHKFFAO88CA,7,59.67,見其他登記事項,鋼筋混凝土造,96年11月20日,004
RPSPMLNLLHKFFAO88CA,7,94.22,見其他登記事項,鋼筋混凝土造,96年11月20日,004,三層
RPSPMLNLLHKFFAO88CA,7,59.67,見其他登記事項,鋼筋混凝土造,96年11月20日,004
RPSPMLNLLHKFFAO88CA,7,94.22,見其他登記事項,鋼筋混凝土造,96年11月20日,004,四層
RPSPMLNLLHKFFAO88CA,7,59.67,見其他登記事項,鋼筋混凝土造,96年11月20日,004
RPPOMLTKLHKFFAO98CA,7,42.93,辦公室,鋼筋混凝土造,97年7月30日,010,十層
RPPOMLTKLHKFFAO98CA,7,24.81,見其他登記事項,鋼筋混凝土造,97年7月30日,010
RPTNMLKLLHKFFAO48CA,21,75.53,住家用,鋼筋混凝土造,82年10月19日,005,五層
RPTNMLKLLHKFFAO48CA,21,11.40,共有部分,鋼筋混凝土造,82年10月19日,005
RPTNMLKLLHKFFAO48CA,21,26.04,共有部分,鋼筋混凝土造,82年10月19日,005
RPVPMLSKLHKFFAO96CA,1,48.83,見其他登記事項,鋼筋混凝土造,103年4月10日,005,二層
RPVPMLSKLHKFFAO96CA,1,34.45,共有部分,鋼筋混凝土造,103年4月10日,005
RPWPMLSKLHKFFAO07CA,1,59.34,見其他登記事項,鋼筋混凝土造,103年4月10日,005,二層
RPWPMLSKLHKFFAO07CA,1,39.09,共有部分,鋼筋混凝土造,103年4月10日,005
RPWOMLSKLHKFFAO96CA,21,82.55,住家用,鋼筋混凝土造,82年11月10日,005,一層
RPWOMLSKLHKFFAO96CA,21,9.06,共有部分,鋼筋混凝土造,82年11月10日,005
RPWOMLSKLHKFFAO96CA,21,7.66,共有部分,鋼筋混凝土造,82年11月10日,005
RPOPMLSKLHKFFAO88CA,26,69.00,住家用,鋼筋混凝土造,78年8月4日,002,一層 二層 夾層
RPOPMLSKLHKFFAO88CA,26,69.00,住家用,鋼筋混凝土造,78年8月4日,002,一層 二層 夾層
RPVNMLTKLHKFFAO86CA,16,115.52,住家用,鋼筋混凝土造,87年7月18日,020,十七層
RPVNMLTKLHKFFAO86CA,16,28.27,見其他登記事項,鋼筋混凝土造,87年7月18日,022
RPVNMLTKLHKFFAO86CA,17,1.89,見其他登記事項,鋼筋混凝土造,87年6月23日,021,一層 地下一層 地下二層 地下三層
RPVNMLTKLHKFFAO86CA,17,.38,見其他登記事項,鋼筋混凝土造,87年6月23日,021,一層
RPOOMLTKLHKFFAO88CA,22,78.37,住家用,鋼筋混凝土造,82年7月15日,005,二層
RPOOMLTKLHKFFAO88CA,22,15.71,共有部分,鋼筋混凝土造,82年7月15日,005
RPOOMLTKLHKFFAO88CA,,17.51,見其他登記事項,鋼筋混凝土造,,005,地下層
RPUNMLKLLHKFFAO58CA,,32.22,共有部分,鋼筋混凝土造,103年10月31日,023
RPROMLKLLHKFFAO38CA,21,206.07,,鋼筋混凝土造,82年10月13日,005,一層 二層 三層 四層 五層
RPWOMLKLLHKFFAO88CA,9,110.90,見其他登記事項,鋼筋混凝土造,94年9月12日,014,六層
RPWOMLKLLHKFFAO88CA,9,12.43,見其他登記事項,鋼筋混凝土造,94年9月12日,014
RPWOMLKLLHKFFAO88CA,9,23.31,見其他登記事項,鋼筋混凝土造,94年9月12日,014
RPWOMLKLLHKFFAO88CA,9,.03,見其他登記事項,鋼筋混凝土造,94年9月12日,014,一層
RPWOMLKLLHKFFAO88CA,9,.01,見其他登記事項,鋼筋混凝土造,94年9月12日,014
RPWOMLKLLHKFFAO88CA,9,23.11,見其他登記事項,鋼筋混凝土造,94年9月12日,014
RPQOMLTKLHKFFAO09CA,21,2.00,共有部分,鋼筋混凝土造,83年4月23日,016
RPQOMLTKLHKFFAO09CA,21,1.99,共有部分,鋼筋混凝土造,83年4月23日,016
RPQOMLTKLHKFFAO09CA,21,2.06,共有部分,鋼筋混凝土造,83年4月23日,002
RPQOMLTKLHKFFAO09CA,21,27.70,商業用,鋼筋混凝土造,83年4月23日,001,地下一層
RPXOMLTKLHKFFAO17CA,37,94.64,住家用,加強磚造,67年4月7日,002,一層 二層
RPQPMLTKLHKFFAO56CA,8,67.17,見其他登記事項,鋼筋混凝土造,95年11月1日,008,一層 騎樓
RPQPMLTKLHKFFAO56CA,8,40.29,見其他登記事項,鋼筋混凝土造,95年11月1日,008
RPQPMLTKLHKFFAO56CA,8,.17,見其他登記事項,鋼筋混凝土造,95年11月1日,008,一層
RPORMLNLLHKFFAO68CA,19,73.59,住家用,鋼筋混凝土造,84年9月25日,013,五層
RPORMLNLLHKFFAO68CA,19,7.07,共有部分,鋼筋混凝土造,84年9月25日,013
RPORMLNLLHKFFAO68CA,19,7.26,共有部分,鋼筋混凝土造,84年9月25日,013
RPVNMLOLLHKFFAO09CA,22,31.08,住家用,鋼筋混凝土造,82年6月28日,005,五層
RPVNMLOLLHKFFAO09CA,22,7.09,共有部分,鋼筋混凝土造,82年6月28日,005
RPVNMLOLLHKFFAO09CA,22,3.25,見使用執照,鋼筋混凝土造,82年6月28日,005,地下層
RPOOMLLLLHKFFAO18CA,8,22.41,見其他登記事項,鋼筋混凝土造,96年4月16日,005,四層
RPOOMLLLLHKFFAO18CA,8,9.41,見其他登記事項,鋼筋混凝土造,96年4月16日,005
RPTNMLNLLHKFFAO78CA,2,94.77,見其他登記事項,鋼筋混凝土造,101年10月10日,014,十一層
RPTNMLNLLHKFFAO78CA,2,16.06,共有部分,鋼筋混凝土造,101年10月10日,014
