編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLQLLHKFFBD08DA,,229.46,住商用,鋼筋混凝土造,103年10月3日,004,一層 二層 三層 四層 騎樓
RPTNMLTKLHKFFAD28DA,17,93.99,住家用,鋼筋混凝土構造,87年1月5日,026,十四層
RPTNMLTKLHKFFAD28DA,17,29.94,共有部分,鋼筋混凝土構造,87年1月5日,026
RPTNMLTKLHKFFAD28DA,17,18.11,共有部分,鋼筋混凝土構造,87年1月5日,026
RPPOMLTJMHKFFHR37CA,24,165.29,住商用,鋼筋混凝土造,80年8月12日,017,一層 二層 三層 騎樓
RPPOMLTJMHKFFHR37CA,24,32.81,共有部分,鋼筋混凝土造,80年8月12日,018
RPTNMLLJMHKFFHR86CA,25,205.37,住商用,鋼筋混凝土造,78年11月15日,003,一層 二層 三層 騎樓
RPPNMLPLLHKFFHR96CA,,176.04,住家用,見其他登記事項,103年12月4日,004,一層 二層 三層 四層
RPQNMLQLLHKFFHR17CA,25,248.48,住商用,鋼筋混凝土造,78年8月11日,004,一層 二層 三層 四層 騎樓
RPPNMLRLLHKFFHR17CA,21,116.98,住家用,鋼筋混凝土造,83年3月16日,005,四層 五層 夾層
RPPNMLRLLHKFFHR17CA,21,46.70,共有部分,鋼筋混凝土造,83年3月16日,005
RPSNMLLMLHKFFHR96CA,20,44.83,見其他登記事項,鋼筋混凝土造,84年3月31日,015,九層
RPSNMLLMLHKFFHR96CA,20,9.75,共有部分,鋼筋混凝土造,84年3月31日,015
RPQNMLSKLHKFFHR27CA,4,450.32,見其他登記事項,鋼筋混凝土造,100年6月21日,004,一層 二層 三層 四層
RPTNMLSKLHKFFHR57CA,1,89.60,住家用,見其他登記事項,103年6月19日,003,一層 二層 三層 屋頂突出物
RPTNMLSKLHKFFHR57CA,1,89.60,住家用,見其他登記事項,103年6月19日,003,一層 二層 三層 屋頂突出物
RPSNMLTKLHKFFHR57CA,15,82.56,住家用,鋼筋混凝土造,88年8月24日,014,二層
RPSNMLTKLHKFFHR57CA,15,2.06,共有部分,鋼筋混凝土造,88年8月24日,014
RPSNMLTKLHKFFHR57CA,15,16.94,共有部分,鋼筋混凝土造,88年8月24日,014
RPSNMLTKLHKFFHR57CA,15,16.52,共有部分,鋼筋混凝土造,88年8月24日,014
RPWNMLTKLHKFFHR97CA,,222.28,住家用,見其他登記事項,103年9月23日,004,一層 二層 三層 四層
RPPOMLTKLHKFFHR37CA,1,201.72,住家用,見其他登記事項,103年8月1日,004,一層 二層 三層 四層
RPTOMLTKLHKFFHR77CA,24,17.47,住家用,鋼筋混凝土造,79年12月3日,007,六層
RPTOMLTKLHKFFHR77CA,24,4.17,共有部分,鋼筋混凝土造,79年12月3日,007
RPTOMLTKLHKFFHR77CA,24,5.35,共有部分,鋼筋混凝土造,79年12月3日,007
RPTNMLOLLHKFFFR07CA,21,88.52,住家用,鋼筋混凝土造,83年2月25日,007,三層
RPTNMLOLLHKFFFR07CA,21,26.34,共有部分,鋼筋混凝土造,83年2月25日,007
RPUNMLSKLHKFFFR47CA,21,9.11,共有部分,鋼筋混凝土造,83年6月8日,011
RPUNMLSKLHKFFFR47CA,21,41.86,住家用,鋼筋混凝土造,83年6月8日,011,七層
RPUNMLSKLHKFFFR47CA,21,6.88,見其他登記事項,鋼筋混凝土造,83年6月8日,011
RPUNMLSKLHKFFFR47CA,21,41.86,住家用,鋼筋混凝土造,83年6月8日,011,七層
RPUNMLSKLHKFFFR47CA,21,9.11,共有部分,鋼筋混凝土造,83年6月8日,011
RPUNMLSKLHKFFFR47CA,21,6.88,見其他登記事項,鋼筋混凝土造,83年6月8日,011
RPRNMLSJMHKFFER07CA,8,92.44,見其他登記事項,鋼筋混凝土造,95年9月27日,003,一層 二層 三層 屋頂突出物
RPRNMLSJMHKFFER07CA,8,92.44,見其他登記事項,鋼筋混凝土造,95年9月27日,003,一層 二層 三層 屋頂突出物
RPUNMLRJMHKFFER27CA,1,26.65,見其他登記事項,鋼筋混凝土造,103年6月18日,009
RPPNMLLJMHKFFER78CA,29,84.26,住家用,鋼筋混凝土造,75年6月5日,004,一層
RPPNMLLJMHKFFER78CA,29,8.82,見其他登記事項,鋼筋混凝土造,75年6月5日,004
RPROMLLMLHKFFAR88CA,1,197.83,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPSOMLLMLHKFFAR98CA,1,195.21,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPTOMLLMLHKFFAR09CA,1,195.21,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
