編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPRNMLOJMHKFFCC57CA,情人湖段,.08,都市：住
RPSNMLLMLHKFFCC57CA,代天府段,15.96,都市：住
RPSNMLLMLHKFFCC57CA,代天府段,.25,都市：其他
RPSNMLLMLHKFFCC57CA,代天府段,.04,都市：住
RPPOMLKMLHKFFCC27CA,代天府段,22.45,都市：其他
RPPOMLKMLHKFFCC27CA,代天府段,.14,都市：其他
RPPOMLKMLHKFFCC27CA,代天府段,.18,都市：住
RPPOMLKMLHKFFCC27CA,代天府段,.04,都市：其他
RPPOMLKMLHKFFCC27CA,代天府段,.00,都市：住
RPPOMLKMLHKFFCC27CA,代天府段,.09,都市：住
RPWNMLRLLHKFFCC48CA,代天府段,17.96,都市：住
RPWNMLRLLHKFFCC48CA,代天府段,.11,都市：其他
RPWNMLRLLHKFFCC48CA,代天府段,.14,都市：住
RPWNMLRLLHKFFCC48CA,代天府段,.03,都市：其他
RPWNMLRLLHKFFCC48CA,代天府段,.00,都市：住
RPWNMLRLLHKFFCC48CA,代天府段,.07,都市：住
RPSNMLKMLHKFFCC47CA,源遠段,1151.00,都市：其他
RPSNMLTJMHKFFCC18CA,德育段,43.06,都市：住
RPSNMLTJMHKFFCC18CA,德育段,2.22,都市：其他
RPSNMLPKMHKFFCC87CA,八堵段八堵北小段,9.25,都市：其他
RPSNMLPKMHKFFCC87CA,八堵段八堵北小段,783.37,都市：其他
RPSNMLPKMHKFFCC87CA,八堵段八堵北小段,444.37,都市：其他
RPSNMLPKMHKFFCC87CA,八堵段八堵北小段,167.85,都市：其他
RPSNMLPKMHKFFCC87CA,八堵段八堵北小段,306.00,都市：工
RPSNMLPKMHKFFCC87CA,八堵段八堵北小段,692.69,都市：其他
RPSNMLPKMHKFFCC87CA,八堵段八堵北小段,1.14,都市：工
RPVNMLRLLHKFFCC58EA,工建段,1487.65,都市：其他
RPVNMLKMLHKFFCC97EA,大德段,50.00,都市：住
RPPNMLLMLHKFFCC37DA,五堵段五堵北小段,33.25,都市：住
RPRNMLLLMHKFFCC47CA,新會段,39.03,都市：住
RPXNMLKMLHKFFBC97DA,深美段,20.39,都市：住
RPXNMLKMLHKFFBC97DA,深美段,.39,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.85,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.00,都市：其他
RPWNMLQKMHKFFCC38CA,溪頭段,.80,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.63,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.43,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.10,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.34,都市：其他
RPWNMLQKMHKFFCC38CA,溪頭段,.00,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.00,都市：住
RPWNMLQKMHKFFCC38CA,溪頭段,.01,都市：住
RPTNMLTJMHKFFCC28CA,保定段,35.25,都市：住
RPTNMLTJMHKFFCC28CA,保定段,.50,都市：其他
RPSNMLOLMHKFFCC08EA,工建段,28.35,都市：住
RPSNMLOLMHKFFCC08EA,工建段,.08,都市：其他
RPTOMLMJMHKFFCC77DA,保定段,.24,都市：其他
RPTOMLMJMHKFFCC77DA,保定段,.14,都市：其他
RPTOMLMJMHKFFCC77DA,保定段,29.29,都市：住
RPTOMLMJMHKFFCC77DA,保定段,.01,都市：住
RPTOMLMJMHKFFCC77DA,保定段,.31,都市：其他
RPUOMLMJMHKFFCC87DA,保定段,.24,都市：其他
RPUOMLMJMHKFFCC87DA,保定段,.14,都市：其他
RPUOMLMJMHKFFCC87DA,保定段,29.29,都市：住
RPUOMLMJMHKFFCC87DA,保定段,.01,都市：住
RPUOMLMJMHKFFCC87DA,保定段,.31,都市：其他
RPPNMLTLLHKFFCC97CA,溪頭段,.00,都市：其他
RPPNMLTLLHKFFCC97CA,溪頭段,.80,都市：住
RPPNMLTLLHKFFCC97CA,溪頭段,.63,都市：住
RPPNMLTLLHKFFCC97CA,溪頭段,.85,都市：住
RPPNMLTLLHKFFCC97CA,溪頭段,.43,都市：住
RPPNMLTLLHKFFCC97CA,溪頭段,.10,都市：住
RPPNMLTLLHKFFCC97CA,溪頭段,.34,都市：其他
RPPNMLTLLHKFFCC97CA,溪頭段,.00,都市：住
RPPNMLTLLHKFFCC97CA,溪頭段,.00,都市：住
RPPNMLTLLHKFFCC97CA,溪頭段,.01,都市：住
RPUNMLKMLHKFFCC67CA,德安段,6.20,都市：住
RPUNMLKMLHKFFCC67CA,德安段,12.10,都市：住
RPUNMLKMLHKFFCC67CA,德安段,9.61,都市：住
RPUNMLLMLHKFFCC77CA,源遠段,23.56,都市：住
RPVNMLLMLHKFFCC87CA,觀音段,22.53,都市：住
RPVNMLLMLHKFFCC87CA,觀音段,.13,都市：其他
RPVNMLLMLHKFFCC87CA,觀音段,.91,都市：其他
RPQNMLOJMHKFFCC47CA,麥金段,33.22,都市：住
RPTNMLMJMHKFFCC57CA,暖暖段暖暖小段,41.87,都市：住
RPUNMLMJMHKFFCC67CA,暖暖段暖暖小段,36.80,都市：住
RPWNMLMJMHKFFCC87CA,五堵段五堵北小段,40.80,都市：住
RPXNMLMJMHKFFCC97CA,五堵段五堵北小段,40.80,都市：住
RPXNMLLJMHKFFCC87CA,暖暖段暖暖小段,42.50,都市：住
RPSNMLNKMHKFFBC57CA,深美段,.24,都市：住
RPSNMLNKMHKFFBC57CA,深美段,.20,都市：住
RPSNMLNKMHKFFBC57CA,深美段,26.78,都市：住
RPSNMLNKMHKFFBC57CA,深美段,4.98,都市：住
RPQNMLSJMHKFFBC77CA,德厚段,23.86,都市：住
RPQNMLSJMHKFFBC77CA,德厚段,.03,都市：其他
RPQNMLTJMHKFFBC87CA,深美段,.02,都市：住
RPQNMLTJMHKFFBC87CA,深美段,22.05,都市：住
RPPNMLPJMHKFFBC37CA,忠義段四小段,7.80,都市：商
RPPNMLPJMHKFFBC37CA,忠義段四小段,3.40,都市：商
RPPNMLPJMHKFFBC37CA,忠義段四小段,21.75,都市：商
RPPNMLPJMHKFFBC37CA,忠義段四小段,4.50,都市：商
RPPNMLRJMHKFFBC57CA,基瑞段,19.17,都市：住
RPPNMLRJMHKFFBC57CA,基瑞段,2.78,都市：其他
RPQNMLRJMHKFFBC67CA,祥豐段,17.85,都市：商
RPVNMLLMLHKFFBC77CA,忠義段四小段,13.67,都市：商
RPVNMLLMLHKFFBC77CA,忠義段四小段,1.17,都市：商
