編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLPKMHKFFBN98CA,,182.24,住家用,鋼筋混凝土造,104年1月30日,004,一層 二層 三層 四層
RPUNMLPKMHKFFBN09CA,,213.49,住家用,鋼筋混凝土造,104年1月30日,004,一層 二層 三層 四層
RPVNMLPKMHKFFBN56CA,,213.49,住家用,鋼筋混凝土造,104年1月30日,004,一層 二層 三層 四層
RPWNMLPKMHKFFBN66CA,,213.49,住家用,鋼筋混凝土造,104年1月30日,004,一層 二層 三層 四層
RPUNMLSJMHKFFCN76CA,1,192.45,見其他登記事項,鋼筋混凝土造,103年11月20日,003,一層 二層 三層 見其他登記事項
RPPNMLTKLHKFFDN09CA,34,125.40,工業用,鋼筋混凝土加強磚造,69年11月4日,002,一層 二層
RPUNMLNKMHKFFDN09CA,32,84.15,住家用,鋼筋混凝土造,72年2月5日,004,二層
RPUNMLOKMHKFFDN56CA,38,102.00,住家用,鋼筋混凝土加強磚造,65年9月16日,003,一層 二層 三層
RPRNMLRKMHKFFDN66DA,16,176.43,見其他登記事項,鋼筋混凝土造,88年8月24日,003,一層 二層 三層 騎樓
RPVNMLQLLHKFFBN76DA,1,224.10,住家用,鋼筋混凝土造,103年2月5日,004,一層 二層 三層 四層
RPRNMLKLLHKFFAN28DA,34,126.39,住家用,加強磚造,69年12月18日,002,一層 二層
RPRNMLNLLHKFFAN58DA,40,80.34,住家用,鋼筋混凝土加強磚造,63年11月19日,003,一層 二層 三層
RPQNMLKLLHKFFEN48CA,27,124.64,住家用,鋼筋混凝土造,77年6月9日,003,一層 二層 三層
RPVNMLRLLHKFFDN96CA,4,193.05,住家用,鋼筋混凝土造,100年4月22日,004,一層 二層 三層 四層
RPVNMLSJMHKFFCN86CA,,192.45,見其他登記事項,鋼筋混凝土造,103年11月20日,003,一層 二層 三層 見其他登記事項
RPWNMLSJMHKFFCN96CA,1,167.98,見其他登記事項,鋼筋混凝土造,103年11月20日,003,一層 二層 三層 見其他登記事項
RPXNMLSJMHKFFCN07CA,1,192.45,見其他登記事項,鋼筋混凝土造,103年11月20日,003,一層 二層 三層 見其他登記事項
