編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLTKLHKFFBM66CA,22,7.88,見其他登記事項,鋼筋混凝土造,82年5月27日,007
RPQNMLKMLHKFFBM18CA,33,135.05,住商用,鋼筋混凝土造,71年1月15日,003,一層 二層 三層
RPSNMLTKLHKFFCM56CA,16,191.16,住家用,鋼筋混凝土造,87年11月6日,004,一層 二層 三層 四層
RPTNMLTKLHKFFCM66CA,34,96.88,住家用,加強磚造,70年4月25日,002,一層 二層
RPRNMLKLLHKFFCM28CA,18,146.40,住家用,鋼筋混凝土造,86年7月7日,003,一層 二層 三層
RPUNMLOLLHKFFCM98CA,14,181.59,住家用,鋼筋混凝土造,89年9月26日,003,一層 二層 三層 屋頂突出物
RPQNMLRJMHKFFDM88CA,17,183.56,住商用,見其他登記事項,86年10月9日,002,一層 二層 騎樓
RPQNMLRJMHKFFDM88CA,17,178.61,住商用,見其他登記事項,86年10月9日,002,一層 二層 騎樓
RPUNMLSKLHKFFDM76CA,35,105.00,住家用,鋼筋混凝土加強磚造,69年2月26日,002,一層 二層 騎樓
RPWNMLTKLHKFFCM07DA,21,92.56,住家用,鋼筋混凝土造,82年12月20日,004,一層
RPWNMLTKLHKFFCM07DA,21,4.72,見其他登記事項,鋼筋混凝土造,82年12月20日,004
RPQNMLOLLHKFFBM58DA,41,113.03,住家用,鋼筋混凝土加強磚造,63年4月19日,002,一層 二層
RPWNMLRJMHKFFCM76CA,20,83.19,見其他登記事項,鋼筋混凝土造,84年5月24日,006,二層
RPWNMLRJMHKFFCM76CA,20,28.55,見其他登記事項,鋼筋混凝土造,84年5月24日,006
RPROMLOKMHKFFBM68CA,35,81.48,住家用,鋼筋混凝土加強磚造,68年8月30日,002,一層 二層
RPPNMLKMLHKFFAM97CA,25,144.15,住商用,鋼筋混凝土造,78年8月29日,003,一層 二層 三層 騎樓
RPWNMLNLLHKFFAM88CA,,90.38,住家用,鋼筋混凝土造,,002,一層 二層 騎樓
RPQNMLKMLHKFFAM08CA,22,111.75,住家用,鋼筋混凝土造,81年12月21日,003,一層 二層 三層
RPSNMLKMLHKFFAM28CA,22,210.43,住家用,鋼筋混凝土造,82年2月12日,003,一層 二層 三層
RPWOMLMJMHKFFAM78CA,,199.50,見其他登記事項,鋼筋混凝土造,103年12月18日,003,一層 二層 三層 屋頂突出物
