鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中山區,房地(土地+建物),臺北市中山區吉林路121~150號,16.57,其他,,,10401,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740527,98.36,2,2,2,有,無,19000000,193168,,0.0,0,,RPPOMLPLLHKFFCA47CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段218巷31~60號,25.02,商,,,10312,土地1建物1車位1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031003,178.39,3,2,2,有,有,34050000,191176,升降機械,10.22,1900000,,RPWQMLPLLHKFFCA38CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段218巷31~60號,25.02,商,,,10312,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031003,178.39,3,2,2,有,有,34210000,192722,升降機械,10.22,1800000,,RPXQMLPLLHKFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段411巷62弄1~30號,19.75,住,,,10401,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970331,133.49,2,2,2,有,有,27550000,206383,坡道平面,0.0,0,,RPORMLPLLHKFFCA67CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段691~720號,14.69,商,,,10402,土地1建物1車位2,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1001028,125.47,0,0,1,無,有,38200000,304455,坡道平面,64.43,0,,RPUPMLQLLHKFFCA18CA
中山區,房地(土地+建物),臺北市中山區北安路541~570號,20.06,住,,,10402,土地2建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670628,74.02,2,2,1,有,無,15000000,202648,,0.0,0,,RPPOMLRLLHKFFCA67CA
中山區,房地(土地+建物),臺北市中山區南京西路1~30號,6.39,商,,,10312,土地1建物1車位0,八層,12,辦公商業大樓,商業用,鋼筋混凝土造,0680126,62.57,1,1,1,有,有,13930000,222631,,0.0,0,有辦公室板輕隔間區隔2個空間,RPROMLRLLHKFFCA87CA
中山區,房地(土地+建物),臺北市中山區中山北路二段93巷1~30號,2.34,商,,,10403,土地1建物1車位0,五層,14,套房(1房1廳1衛),商業用,鋼筋混凝土造,0920808,31.34,1,1,1,有,有,6700000,213784,,0.0,0,,RPUOMLKMLHKFFCA57CA
中山區,房地(土地+建物),臺北市中山區中山北路一段83巷1~30號,8.61,商,,,10403,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760609,43.49,0,0,0,無,無,6000000,137963,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLMJMHKFFCA27CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段121~150號,10.72,商,,,10402,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980106,160.13,3,2,2,有,無,23200000,144891,坡道平面,37.5,0,,RPUNMLQJMHKFFCA87CA
中山區,房地(土地+建物),臺北市中山區民生東路三段88巷1~30號,24.05,住,,,10402,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0750314,115.23,3,2,2,有,有,24500000,212618,,0.0,0,,RPRRMLSJMHKFFCA18CA
松山區,車位,臺北市松山區八德路三段1~30號,0.04,其他,,,10403,土地0建物0車位1,一層,14,其他,見使用執照,鋼筋混凝土造,0661013,1.47,0,0,0,有,無,1200000,,塔式車位,1.47,1200000,單獨車位交易。,RPROMLRKLHKFFDA87CA
南港區,土地,南港段四小段511~540地號,40.2,工,,,10312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,121891,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXOMLSKLHKFFDA58CA
南港區,房地(土地+建物),臺北市南港區富康街1~30號,27.38,商,,,10312,土地1建物1車位0,一層,5,店面(店鋪),見使用執照,鋼筋混凝土造,0740516,110.36999999999999,0,2,1,有,無,24500000,221981,,0.0,0,,RPUPMLSKLHKFFDA38CA
松山區,房地(土地+建物),臺北市松山區撫遠街399巷1~30號,33.25,住,,,10401,土地1建物1車位0,二層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640410,89.76,2,2,2,有,無,16300000,181595,,0.0,0,,RPPNMLTKLHKFFDA77CA
信義區,房地(土地+建物),臺北市信義區吳興街600巷98弄1~30號,30.74,住,,,10402,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,73.18,2,2,1,有,無,9300000,127084,,0.0,0,,RPWNMLTKLHKFFDA48CA
松山區,土地,敦化段一小段511~540地號,10.0,住,,,10312,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9075000,907500,,0.0,0,1.依土地法第34條之1辦理所有權移轉。2.畸零地或有合併使用之交易。,RPQNMLKLLHKFFDA07CA
南港區,車位,臺北市南港區八德路四段781~810號,1.86,其他,,,10402,土地0建物0車位4,地下層,5,其他,見使用執照,鋼筋混凝土造,0750205,130.42000000000002,0,0,0,有,有,6500000,,坡道平面,130.36,6500000,本案權利人4人車位共4位。,RPXOMLKLLHKFFDA87CA
松山區,房地(土地+建物),臺北市松山區延吉街1~30號,14.97,住,,,10401,土地1建物1車位0,五層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0800426,54.71,0,0,0,無,有,12350000,225736,,0.0,0,,RPPNMLLLLHKFFDA07CA
信義區,土地,吳興段三小段811~840地號,0.04,住,,,10403,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000,0,,0.0,0,,RPQNMLMLLHKFFDA27CA
松山區,房地(土地+建物),臺北市松山區八德路四段631~660號,3.87,商,,,10402,土地1建物1車位0,七層,13,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951110,34.75,1,1,1,有,有,10700000,307914,,0.0,0,,RPPOMLPLLHKFFDA57CA
